QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
IPCT-59,CTM,Level accelerated,1.0,0.0,32.0,20,28.16,742.38,0.0,536.0,4.0,28.0,3.0,22.0,7.0,8.0,0.0,
MXAX-41,CTM,Level,1.0,0.0,60.0,20,7.74,200.09,0.0,538.0,9.0,,11.0,16.0,7.0,9.0,0.0,
FHLJ-56,CTM,Level with CI,1.0,0.0,41.0,30,41.89,1225.19,0.0,564.0,1.0,20.0,3.0,10.0,4.0,2.0,0.0,
ICWN-50,Direct,Level,0.0,1.0,53.0,10,47.72,1021.19,0.0,568.0,1.0,60.0,4.0,19.0,4.0,3.0,0.0,
KKGQ-65,Direct,Level,1.0,0.0,45.0,20,57.5,1220.98,0.0,566.0,4.0,,18.0,15.0,5.0,10.0,0.0,
FCPI-76,MSM,Decreasing,0.0,0.0,52.0,20,30.95,647.46,0.0,556.0,2.0,,7.0,14.0,3.0,4.0,0.0,
PYDI-15,CTM,Level with CI,1.0,0.0,21.0,10,30.91,1038.44,0.0,573.0,3.0,7.0,9.0,8.0,5.0,3.0,0.0,
TNBF-50,CTM,Level,1.0,0.0,50.0,20,24.93,525.94,0.0,,,,,,,,,
UHBG-12,CTM,Decreasing,1.0,1.0,30.0,20,9.93,284.83,1.0,555.0,3.0,,4.0,18.0,5.0,5.0,0.0,
IUQG-35,CTM,Level,1.0,0.0,55.0,20,28.24,688.45,1.0,527.0,1.0,,7.0,20.0,8.0,9.0,0.0,
YRCP-35,CTM,Level,1.0,1.0,39.0,10,9.1,265.72,0.0,566.0,9.0,,30.0,1.0,1.0,2.0,0.0,
LJTZ-10,Direct,Decreasing,1.0,1.0,37.0,35,24.13,586.87,0.0,,,,,,,,,
AOAM-34,Direct,Level,1.0,1.0,45.0,20,10.0,281.91,0.0,553.0,1.0,,11.0,17.0,6.0,4.0,0.0,
HDCR-25,CTM,Decreasing with CI,0.0,1.0,45.0,30,27.5,584.8,0.0,566.0,4.0,,9.0,12.0,4.0,5.0,0.0,
YNVI-45,MSM,Level with CI,1.0,1.0,49.0,10,20.64,296.95,0.0,538.0,8.0,,8.0,19.0,6.0,8.0,0.0,
GEMS-99,CTM,Level,1.0,1.0,37.0,20,9.41,242.04,0.0,524.0,3.0,,9.0,24.0,7.0,10.0,0.0,
KXXT-96,CTM,Level,1.0,0.0,49.0,20,69.07,2290.73,0.0,,,,,,,,,
CDXM-54,CTM,Decreasing with CI,0.0,1.0,18.0,40,9.99,313.96,0.0,534.0,1.0,,8.0,17.0,7.0,4.0,0.0,
HOLU-75,Direct,Decreasing with CI,0.0,0.0,47.0,30,9.79,238.41,1.0,530.0,6.0,,11.0,21.0,7.0,5.0,0.0,
IKRU-87,CTM,Level with CI,0.0,0.0,45.0,20,23.08,540.94,0.0,,,,,,,,,
OCDW-46,MSM,Level with CI,1.0,1.0,62.0,20,54.53,1140.71,1.0,544.0,0.0,23.0,4.0,,7.0,,0.0,
XJWB-40,Direct,Level with CI,1.0,0.0,46.0,20,15.3,429.55,0.0,582.0,3.0,75.0,0.0,10.0,4.0,3.0,0.0,
BWJB-18,CTM,Decreasing,1.0,0.0,21.0,40,43.95,1000.21,0.0,,,,,,,,,
QWSU-39,Direct,Level,0.0,0.0,33.0,30,74.84,1921.22,0.0,565.0,3.0,7.0,6.0,7.0,3.0,6.0,0.0,
GMXF-72,CTM,Level,1.0,1.0,35.0,5,25.74,0.0,0.0,567.0,3.0,73.0,8.0,14.0,4.0,3.0,0.0,
HVRT-74,CTM,Level,1.0,1.0,41.0,10,18.93,470.74,0.0,559.0,1.0,,3.0,14.0,4.0,6.0,0.0,
KHPS-78,CTM,Decreasing with CI,1.0,1.0,49.0,20,61.5,1291.41,1.0,544.0,0.0,23.0,4.0,,7.0,,0.0,
GQKO-87,CTM,Level with CI,1.0,0.0,59.0,30,8.38,181.28,0.0,558.0,0.0,21.0,3.0,15.0,5.0,6.0,0.0,
RWNZ-69,CTM,Level,1.0,0.0,46.0,20,16.84,204.98,0.0,556.0,0.0,,0.0,10.0,8.0,3.0,0.0,
FGOH-70,CTM,Level with CI,0.0,1.0,52.0,10,30.04,687.95,1.0,,,,,,,,,
CYJJ-75,CTM,Level,0.0,0.0,39.0,10,51.92,1629.32,0.0,568.0,0.0,21.0,1.0,15.0,6.0,7.0,0.0,
YKND-43,CTM,Level,0.0,0.0,40.0,15,10.27,248.51,0.0,558.0,0.0,21.0,3.0,15.0,5.0,6.0,0.0,
KPDJ-32,CTM,Decreasing,0.0,0.0,46.0,40,17.61,502.96,0.0,568.0,1.0,10.0,5.0,20.0,5.0,5.0,0.0,
UUOF-13,Direct,Decreasing,0.0,1.0,46.0,30,63.1,1982.07,0.0,512.0,,,,,,,,
UJCW-78,CTM,Level with CI,1.0,1.0,41.0,5,28.5,506.08,0.0,514.0,4.0,16.0,14.0,23.0,7.0,10.0,0.0,
CMAT-56,CTM,Level,1.0,0.0,44.0,5,45.43,1107.79,0.0,584.0,3.0,,1.0,8.0,2.0,9.0,0.0,
KBQC-55,Direct,Decreasing,0.0,0.0,27.0,20,5.54,146.88,0.0,559.0,4.0,,4.0,6.0,2.0,5.0,0.0,
MLDB-13,CTM,Level,1.0,1.0,57.0,20,14.14,153.81,0.0,557.0,7.0,,6.0,18.0,4.0,7.0,0.0,
TWHW-77,Direct,Decreasing with CI,0.0,1.0,58.0,35,27.44,609.53,0.0,551.0,4.0,,1.0,10.0,8.0,8.0,0.0,
JMYL-99,Direct,Decreasing with CI,0.0,1.0,44.0,5,18.03,439.97,0.0,563.0,2.0,,2.0,17.0,5.0,3.0,0.0,
RVIP-88,CTM,Level,1.0,1.0,61.0,20,15.26,359.96,0.0,565.0,0.0,,10.0,12.0,5.0,6.0,0.0,
VFLC-67,CTM,Decreasing accelerated,0.0,1.0,39.0,20,11.59,348.07,1.0,570.0,3.0,,0.0,11.0,8.0,3.0,0.0,
AMAL-80,Direct,Decreasing with CI,0.0,0.0,24.0,30,13.22,291.9,0.0,,,,,,,,,
VLTH-71,CTM,Level,0.0,0.0,38.0,20,17.69,464.49,0.0,562.0,1.0,36.0,3.0,17.0,5.0,3.0,0.0,
TZST-41,CTM,Level,1.0,1.0,45.0,5,8.01,276.58,0.0,570.0,6.0,,4.0,20.0,6.0,3.0,0.0,
JMIF-58,Direct,Level,0.0,0.0,46.0,30,61.82,1275.89,0.0,,,,,,,,,
YUCR-59,CTM,Level,1.0,1.0,46.0,20,11.46,231.6,0.0,478.0,,,,9.0,6.0,3.0,,
WGRP-40,MSM,Level with CI,1.0,0.0,59.0,40,36.99,1085.3,0.0,554.0,2.0,12.0,1.0,12.0,3.0,4.0,0.0,
DZSF-37,Direct,Level accelerated,0.0,0.0,54.0,20,23.9,530.02,1.0,568.0,9.0,26.0,19.0,13.0,4.0,10.0,0.0,
BHPU-88,CTM,Level,0.0,0.0,30.0,20,12.04,423.66,0.0,501.0,,,,16.0,6.0,3.0,,
DOFQ-19,CTM,Level,1.0,0.0,60.0,20,24.49,590.09,0.0,565.0,0.0,,10.0,12.0,5.0,6.0,0.0,
GAED-17,CTM,Decreasing accelerated,1.0,0.0,46.0,10,7.84,222.04,0.0,578.0,0.0,,0.0,16.0,8.0,9.0,0.0,
QOPV-89,Direct,Level with CI,0.0,0.0,51.0,20,27.7,854.41,0.0,,,,,,,,,
JYWZ-77,Direct,Level,1.0,1.0,44.0,10,13.33,277.99,0.0,478.0,,,,9.0,6.0,3.0,,
GCAH-70,CTM,Level with CI,1.0,0.0,40.0,20,33.09,608.26,0.0,513.0,,,,7.0,4.0,4.0,,
WIWU-37,CTM,Decreasing with CI,0.0,0.0,42.0,30,54.18,1356.88,0.0,,,,,,,,,
NHVQ-58,CTM,Decreasing accelerated,1.0,1.0,55.0,20,5.61,130.49,1.0,,,,,,,,,
MTZW-29,CTM,Level,1.0,0.0,39.0,20,9.41,242.04,0.0,557.0,3.0,,9.0,10.0,4.0,1.0,0.0,
MFQQ-92,CTM,Level with CI,1.0,1.0,45.0,30,37.97,940.92,1.0,,,,,,,,,
UYGB-16,CTM,Decreasing with CI,1.0,0.0,44.0,20,70.57,1783.48,0.0,566.0,8.0,,6.0,8.0,3.0,1.0,0.0,
JIOW-30,CTM,Level,1.0,1.0,19.0,10,42.58,1019.72,0.0,,,,,,,,,
TEJK-83,CTM,Level,0.0,0.0,42.0,10,29.54,606.51,0.0,572.0,3.0,,6.0,6.0,3.0,7.0,0.0,
QIPQ-36,CTM,Level accelerated,0.0,0.0,57.0,10,28.16,742.38,0.0,536.0,4.0,28.0,3.0,22.0,7.0,8.0,0.0,
HBSE-75,Direct,Level,1.0,1.0,41.0,25,28.5,506.08,0.0,514.0,4.0,16.0,14.0,23.0,7.0,10.0,0.0,
XOSG-48,MSM,Level,1.0,1.0,39.0,30,9.41,230.85,1.0,542.0,3.0,,15.0,21.0,3.0,3.0,0.0,
EMJQ-75,CTM,Decreasing accelerated,1.0,1.0,45.0,20,19.45,465.1,1.0,,,,,,,,,
VCOU-32,CTM,Level,0.0,0.0,49.0,20,16.7,398.14,0.0,574.0,4.0,,3.0,5.0,2.0,7.0,0.0,
MERH-13,Direct,Decreasing,0.0,1.0,39.0,5,13.87,382.03,1.0,,,,,,,,,
GVZP-22,MSM,Decreasing with CI,1.0,0.0,46.0,30,13.87,382.03,1.0,,,,,,,,,
LHIG-47,Direct,Level with CI,0.0,1.0,54.0,10,13.16,262.58,0.0,589.0,2.0,,3.0,13.0,2.0,1.0,0.0,
GRPA-49,Direct,Level accelerated,0.0,0.0,49.0,20,41.35,1150.92,1.0,587.0,2.0,24.0,4.0,6.0,3.0,5.0,0.0,
TQJF-43,Direct,Decreasing with CI,0.0,0.0,34.0,15,19.95,404.86,0.0,552.0,5.0,,2.0,10.0,8.0,5.0,0.0,
REZI-27,MSM,Level,1.0,1.0,44.0,5,18.91,537.82,0.0,555.0,1.0,21.0,9.0,20.0,6.0,8.0,0.0,
EPEA-67,CTM,Level,1.0,0.0,48.0,20,16.51,360.12,0.0,566.0,5.0,,13.0,14.0,5.0,4.0,0.0,
EODZ-15,Direct,Level,0.0,0.0,63.0,20,12.05,278.22,1.0,,,,,,,,,
AZPG-53,CTM,Level,0.0,1.0,48.0,20,15.17,409.13,0.0,567.0,9.0,,12.0,8.0,4.0,2.0,0.0,
IGXK-45,CTM,Level with CI,0.0,1.0,37.0,20,16.42,461.16,0.0,568.0,1.0,10.0,5.0,20.0,5.0,5.0,0.0,
KGYU-95,MSM,Level,0.0,0.0,48.0,5,62.69,1878.51,0.0,,,,,,,,,
ITFV-61,CTM,Level accelerated,0.0,1.0,38.0,35,33.3,815.92,0.0,579.0,0.0,,8.0,7.0,4.0,3.0,0.0,
CPMF-20,Direct,Level,1.0,1.0,51.0,30,4.3,149.53,0.0,,,,,,,,,
NTFB-86,CTM,Level,1.0,0.0,58.0,20,35.3,811.61,0.0,559.0,3.0,,5.0,20.0,6.0,6.0,0.0,
UVYZ-85,CTM,Level,1.0,1.0,49.0,20,11.36,348.25,0.0,550.0,1.0,,4.0,19.0,6.0,8.0,0.0,
YFPW-29,CTM,Level,0.0,1.0,46.0,20,8.3,213.53,0.0,564.0,2.0,,5.0,16.0,5.0,3.0,0.0,
MXNL-99,CTM,Decreasing with CI,1.0,1.0,59.0,40,10.88,239.61,1.0,,,,,,,,,
HIXG-34,CTM,Level,1.0,0.0,31.0,30,71.99,1489.62,0.0,570.0,2.0,49.0,0.0,7.0,8.0,8.0,0.0,
WDGF-19,CTM,Level accelerated,0.0,1.0,44.0,5,26.57,687.35,0.0,550.0,0.0,11.0,14.0,12.0,4.0,6.0,0.0,
QKDH-10,MSM,Decreasing with CI,1.0,0.0,54.0,40,12.1,283.71,0.0,,,,,,,,,
CESZ-55,CTM,Decreasing with CI,1.0,1.0,38.0,15,33.23,699.92,0.0,589.0,1.0,205.0,3.0,7.0,5.0,1.0,0.0,
DBRV-38,Direct,Decreasing with CI,1.0,0.0,40.0,30,14.43,364.93,0.0,509.0,,,,1.0,1.0,1.0,,
MGCZ-23,CTM,Decreasing with CI,0.0,0.0,51.0,10,32.59,985.04,0.0,490.0,,,,10.0,5.0,10.0,,
MPTF-63,Direct,Level,0.0,0.0,52.0,15,35.41,1062.16,1.0,,,,,,,,,
QCUZ-31,CTM,Decreasing with CI,1.0,0.0,49.0,30,10.64,233.49,0.0,567.0,3.0,31.0,4.0,6.0,6.0,2.0,0.0,
LBZB-17,Direct,Level,0.0,1.0,45.0,30,27.59,668.29,1.0,537.0,3.0,,6.0,19.0,7.0,6.0,0.0,
OFQD-78,CTM,Decreasing with CI,1.0,1.0,40.0,30,86.16,2637.59,0.0,,,,,,,,,
GDXI-75,Direct,Decreasing with CI,0.0,0.0,44.0,5,33.22,936.0,0.0,565.0,2.0,,10.0,11.0,5.0,3.0,0.0,
QBRV-99,CTM,Level with CI,1.0,0.0,52.0,30,16.1,439.61,1.0,564.0,3.0,61.0,22.0,11.0,3.0,10.0,0.0,
RFYO-83,CTM,Level,1.0,0.0,47.0,10,12.02,306.84,0.0,,,,,,,,,
WBMW-63,MSM,Decreasing with CI,0.0,0.0,53.0,25,22.76,463.3,0.0,583.0,0.0,145.0,0.0,14.0,5.0,7.0,0.0,
FPHJ-39,MSM,Decreasing,1.0,0.0,30.0,10,18.07,446.72,1.0,556.0,1.0,12.0,8.0,9.0,4.0,6.0,0.0,
KCTP-17,Direct,Decreasing with CI,0.0,0.0,51.0,20,12.3,239.01,0.0,543.0,4.0,,2.0,13.0,6.0,4.0,0.0,
EJLR-13,MSM,Level with CI,1.0,1.0,33.0,10,13.96,365.64,1.0,561.0,7.0,15.0,8.0,11.0,4.0,2.0,0.0,
FDJS-10,CTM,Level accelerated,1.0,0.0,46.0,10,15.05,310.92,1.0,531.0,2.0,,9.0,18.0,7.0,8.0,0.0,
ULTW-71,MSM,Level with CI,0.0,1.0,59.0,20,100.72,2282.68,0.0,,,,,,,,,
SADV-22,Direct,Decreasing,0.0,0.0,48.0,30,6.82,104.87,1.0,538.0,7.0,21.0,7.0,19.0,7.0,10.0,0.0,
AILP-12,CTM,Level,1.0,1.0,35.0,40,13.51,450.67,1.0,553.0,3.0,,5.0,13.0,4.0,2.0,0.0,
KYNN-83,CTM,Decreasing,0.0,1.0,34.0,15,7.74,199.15,0.0,564.0,2.0,,5.0,16.0,5.0,3.0,0.0,
QZQH-42,Direct,Decreasing with CI,1.0,0.0,51.0,5,43.95,1000.21,0.0,,,,,,,,,
ZGRO-30,CTM,Decreasing accelerated,1.0,0.0,49.0,15,6.82,104.87,1.0,538.0,7.0,20.0,7.0,19.0,7.0,10.0,0.0,
WFHF-29,CTM,Level,1.0,0.0,54.0,10,10.7,249.52,0.0,541.0,3.0,37.0,21.0,16.0,7.0,5.0,0.0,
VARL-97,CTM,Level with CI,0.0,1.0,61.0,25,131.39,3205.09,0.0,,,,,,,,,
KAHF-91,CTM,Level with CI,1.0,0.0,30.0,30,36.32,801.72,1.0,581.0,1.0,21.0,3.0,9.0,1.0,5.0,0.0,
QYMG-78,CTM,Decreasing with CI,1.0,1.0,44.0,20,19.94,655.3,0.0,,,,,,,,,
DRXV-14,CTM,Decreasing accelerated,1.0,1.0,48.0,30,23.03,0.0,0.0,568.0,1.0,21.0,0.0,13.0,5.0,3.0,0.0,
JOLC-53,CTM,Level,1.0,1.0,43.0,20,25.74,0.0,0.0,567.0,3.0,73.0,8.0,14.0,4.0,3.0,0.0,
EYFK-49,CTM,Decreasing with CI,1.0,1.0,46.0,20,32.08,711.84,0.0,566.0,9.0,,30.0,1.0,1.0,2.0,0.0,
DVPA-38,CTM,Level,1.0,0.0,58.0,5,16.48,333.91,0.0,564.0,0.0,,14.0,11.0,4.0,1.0,0.0,
NLYD-20,Direct,Decreasing,0.0,0.0,55.0,5,22.03,480.55,0.0,558.0,1.0,,5.0,3.0,4.0,7.0,0.0,
VGWX-15,Direct,Decreasing,1.0,0.0,32.0,20,50.0,1041.45,0.0,555.0,1.0,,4.0,15.0,5.0,5.0,0.0,
ZZHB-75,CTM,Level with CI,0.0,1.0,33.0,20,23.08,812.09,0.0,562.0,5.0,37.0,11.0,14.0,4.0,9.0,0.0,
YNSU-89,CTM,Level,0.0,1.0,53.0,30,28.55,770.44,0.0,605.0,1.0,85.0,2.0,12.0,3.0,4.0,0.0,
EPNZ-91,Direct,Level,0.0,0.0,54.0,30,26.21,741.43,0.0,542.0,3.0,,4.0,13.0,7.0,7.0,0.0,
XNCM-50,CTM,Level with CI,1.0,0.0,49.0,20,127.19,4023.44,0.0,,,,,,,,,
WGPE-76,CTM,Decreasing with CI,1.0,1.0,47.0,30,5.07,161.5,0.0,,,,,,,,,
EYXY-37,CTM,Level,0.0,0.0,47.0,20,11.46,231.6,0.0,562.0,3.0,,8.0,11.0,3.0,2.0,0.0,
DACH-56,MSM,Decreasing,1.0,1.0,42.0,5,10.32,222.55,1.0,554.0,0.0,,1.0,10.0,8.0,3.0,0.0,
MDUD-46,CTM,Decreasing with CI,1.0,0.0,59.0,20,17.58,515.17,0.0,555.0,1.0,21.0,9.0,20.0,6.0,8.0,0.0,
VKXG-68,CTM,Decreasing,1.0,1.0,47.0,30,66.09,1141.69,1.0,537.0,0.0,,13.0,23.0,7.0,10.0,0.0,
LTAT-86,CTM,Decreasing,0.0,1.0,41.0,20,6.24,148.77,1.0,509.0,,,,7.0,4.0,2.0,,
OXNL-27,Direct,Level,0.0,0.0,54.0,30,83.64,2585.67,0.0,,,,,,,,,
FTGC-28,CTM,Decreasing,0.0,0.0,47.0,30,10.96,348.77,1.0,,,,,,,,,
SPNA-41,Direct,Level with CI,1.0,1.0,45.0,20,30.27,849.11,0.0,565.0,5.0,,10.0,11.0,3.0,7.0,0.0,
XLFC-95,Direct,Level,0.0,1.0,57.0,10,72.25,1912.91,0.0,570.0,9.0,,1.0,11.0,8.0,2.0,0.0,
NTNT-87,CTM,Level,1.0,1.0,26.0,5,114.94,2878.52,0.0,572.0,3.0,,6.0,6.0,3.0,7.0,0.0,
RTTZ-21,CTM,Decreasing,0.0,0.0,44.0,5,10.0,121.76,0.0,528.0,0.0,70.0,4.0,23.0,7.0,8.0,0.0,
SLGU-44,Direct,Decreasing with CI,0.0,0.0,44.0,25,60.11,1961.0,0.0,564.0,1.0,,15.0,3.0,2.0,2.0,0.0,
LRKG-37,Direct,Level with CI,1.0,0.0,57.0,10,49.82,1558.74,0.0,585.0,3.0,,4.0,3.0,3.0,2.0,0.0,
YXDB-27,Direct,Level,0.0,0.0,48.0,30,44.3,1067.85,0.0,560.0,1.0,,5.0,,6.0,,0.0,
