,QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
18,UCDW-29,Direct,Decreasing,N,N,45,30,8.22,160.45,Y,558,2,-999997,6,14,4,2,0,-999997
19,AUQG-85,CTM,Level with CI,Y,Y,45,5,8,156.23,Y,558,2,-999997,6,14,4,2,0,-999997
20,EXOK-80,CTM,Level with CI,Y,N,36,20,8.22,160.45,Y,558,2,-999997,6,14,4,2,0,-999997
21,OGQZ-96,CTM,Decreasing with CI,Y,N,62,20,68.55,1759.9,N,569,4,21,12,11,4,2,0,-999997
22,JCZW-12,MSM,Decreasing with CI,Y,N,44,20,56.96,1513.85,N,569,4,21,12,11,4,2,0,-999997
23,YQQS-67,Direct,Decreasing,Y,N,50,30,79.48,2200.93,N,569,4,21,12,11,4,2,0,-999997
24,OEUC-15,CTM,Decreasing with CI,N,N,46,10,35.67,756.94,N,569,4,21,12,11,4,2,0,-999997
25,JXMD-49,Direct,Decreasing,Y,N,48,10,24.08,510.89,N,569,4,21,12,11,4,2,0,-999997
26,SJEP-27,MSM,Level,N,Y,52,10,10.27,248.51,N,558,0,20,3,15,5,6,0,-999997
27,UNHR-92,CTM,Level with CI,Y,N,64,30,8.38,181.28,N,558,0,20,3,15,5,6,0,-999997
28,ZDCF-51,CTM,Decreasing,N,N,55,30,8.35,200.81,N,523,10,-999997,13,24,7,6,0,-999997
29,FZYE-87,Direct,Decreasing with CI,N,N,33,15,22.41,572.16,N,563,2,-999997,2,17,5,3,0,-999997
30,JMYL-99,Direct,Decreasing with CI,N,Y,44,5,18.03,439.97,N,563,2,-999997,2,17,5,3,0,-999997
31,WOLV-47,Direct,Level,Y,Y,35,20,18.03,439.97,N,563,2,-999997,2,17,5,3,0,-999997
32,GNIM-32,CTM,Level,N,N,43,30,19.69,432.44,N,563,2,-999997,2,17,5,3,0,-999997
33,PLSA-47,CTM,Level,Y,N,37,20,14.66,323.73,N,563,2,-999997,2,17,5,3,0,-999997
34,COHE-87,Direct,Decreasing,Y,N,59,20,14.66,323.73,N,563,2,-999997,2,17,5,3,0,-999997
35,WQLA-74,CTM,Level,Y,Y,35,20,14.66,323.73,N,563,2,-999997,2,17,5,3,0,-999997
36,WENZ-86,CTM,Decreasing accelerated,N,N,52,5,28.8,826.13,N,516,NULL,-999997,-999997,8,3,5,-999997,NULL
37,QOBX-32,CTM,Decreasing with CI,Y,Y,45,5,28.8,826.13,N,516,NULL,-999997,-999997,8,3,5,-999997,NULL
38,SSDT-62,CTM,Decreasing with CI,N,Y,45,20,28.8,826.13,N,516,NULL,-999997,-999997,8,3,5,-999997,NULL
39,VDOO-34,Direct,Level with CI,Y,N,29,20,23.36,737.46,N,471,NULL,-999997,-999997,21,7,4,-999997,NULL
40,TLYR-28,Direct,Decreasing,N,N,38,5,23.36,737.46,N,471,NULL,-999997,-999997,21,7,4,-999997,NULL
41,SKGB-84,Direct,Level,N,N,49,20,23.36,737.46,N,471,NULL,-999997,-999997,21,7,4,-999997,NULL
42,KYHL-65,Direct,Decreasing,N,Y,60,30,20.16,653.21,N,471,NULL,-999997,-999997,21,7,4,-999997,NULL
43,OJOD-97,Direct,Level,Y,N,52,20,65.88,2168.82,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
44,VENN-71,CTM,Decreasing with CI,Y,Y,47,20,65.88,2168.82,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
45,RGEI-65,Direct,Decreasing,Y,N,58,30,12,369.79,N,573,0,-999997,10,12,3,4,0,-999997
46,ZGTA-22,Direct,Level,N,N,44,20,31.76,876.81,Y,580,1,60,3,9,3,1,0,-999997
47,MFPA-26,CTM,Level,Y,Y,41,20,46.24,1312.58,Y,580,1,60,3,9,3,1,0,-999997
48,RJFP-38,Direct,Decreasing accelerated,N,N,41,30,31.76,876.81,Y,580,1,60,3,9,3,1,0,-999997
49,YITT-76,MSM,Level,N,Y,39,20,16.53,418.15,Y,580,1,60,3,9,3,1,0,-999997
50,YITT-76,MSM,Level,N,Y,39,20,16.53,418.15,Y,580,1,60,3,9,3,1,0,-999997
51,YITT-76,MSM,Level,N,Y,39,20,16.53,418.15,Y,580,1,60,3,9,3,1,0,-999997
52,EATY-48,CTM,Decreasing,Y,N,45,10,26.76,776.94,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
53,IHAY-97,Direct,Level with CI,Y,Y,40,40,11.15,295.55,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
54,OQSX-19,Direct,Level accelerated,Y,Y,33,40,26.76,776.94,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
55,YKND-43,CTM,Level,N,N,40,15,10.27,248.51,N,558,0,21,3,15,5,6,0,-999997
56,GQKO-87,CTM,Level with CI,Y,N,59,30,8.38,181.28,N,558,0,21,3,15,5,6,0,-999997
57,EZMD-25,CTM,Level,Y,N,42,40,13.07,294.15,N,563,1,37,9,15,5,10,0,-999997
58,NWMS-54,MSM,Decreasing,N,Y,38,20,13.07,294.15,N,563,1,37,9,15,5,10,0,-999997
59,NUMA-26,CTM,Decreasing with CI,Y,Y,56,30,29.36,673.04,N,562,3,-999997,3,9,8,4,0,-999997
60,RVSJ-19,CTM,Level,Y,Y,43,30,33.29,0,N,572,1,-999997,16,8,5,7,0,-999997
61,QEDZ-69,CTM,Decreasing,Y,Y,46,20,220.49,6866.28,N,546,3,55,8,12,6,7,0,-999997
62,YFIP-86,Direct,Level,N,Y,41,40,100,3022.9,N,546,3,55,8,12,6,7,0,-999997
63,JCPG-95,MSM,Level,N,N,52,20,100,3146.17,N,546,3,55,8,12,6,7,0,-999997
64,GPQM-79,MSM,Level with CI,Y,Y,50,40,117.19,3624.7,N,546,3,55,8,12,6,7,0,-999997
65,UVCH-34,CTM,Level with CI,N,N,45,20,28.98,0,N,567,3,73,8,14,4,3,0,-999997
66,GMXF-72,CTM,Level,Y,Y,35,5,25.74,0,N,567,3,73,8,14,4,3,0,-999997
67,ILVE-39,CTM,Decreasing with CI,Y,N,48,20,20.46,0,N,567,3,73,8,14,4,3,0,-999997
68,VCPQ-61,Direct,Decreasing,Y,Y,39,10,25.74,0,N,567,3,73,8,14,4,3,0,-999997
69,MCIO-64,MSM,Decreasing with CI,N,Y,45,20,20.46,0,N,567,3,73,8,14,4,3,0,-999997
70,IEJX-62,Direct,Level with CI,Y,N,34,20,25.74,0,N,567,3,73,8,14,4,3,0,-999997
71,FUVO-72,CTM,Level with CI,N,Y,49,20,25.02,0,N,567,3,73,8,14,4,3,0,-999997
72,CAAW-46,CTM,Decreasing with CI,Y,N,40,30,25.02,0,N,567,3,73,8,14,4,3,0,-999997
73,UTBD-76,Direct,Level with CI,N,N,46,5,27.28,0,N,567,3,73,8,14,4,3,0,-999997
74,ASUY-57,CTM,Decreasing with CI,N,N,26,30,34.98,0,N,567,3,73,8,14,4,3,0,-999997
75,DCOD-90,Direct,Decreasing,N,N,24,30,28.98,0,N,567,3,73,8,14,4,3,0,-999997
76,GVSS-55,MSM,Level,N,N,39,20,220.49,6866.28,N,546,3,55,8,12,6,7,0,-999997
77,URNY-81,CTM,Level,N,N,38,20,100,3022.9,N,546,3,55,8,12,6,7,0,-999997
78,YMMJ-85,MSM,Level with CI,Y,N,52,10,100,3146.17,N,546,3,55,8,12,6,7,0,-999997
79,FBTZ-82,CTM,Decreasing,Y,N,44,20,117.19,3624.7,N,546,3,55,8,12,6,7,0,-999997
80,PTAC-20,Direct,Level,N,N,27,5,5.32,85.56,N,537,1,-999997,10,22,7,8,0,-999997
81,XNUA-29,CTM,Decreasing with CI,N,Y,50,5,6.5,114.01,N,537,1,-999997,10,22,7,8,0,-999997
82,AJQP-65,CTM,Decreasing,Y,Y,36,30,6.5,114.01,N,537,1,-999997,10,22,7,8,0,-999997
83,TNBF-50,CTM,Level,Y,N,50,20,24.93,525.94,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
84,GPDJ-59,CTM,Decreasing accelerated,N,N,35,15,24.93,525.94,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
85,LHVY-13,Direct,Level with CI,N,Y,42,5,13.82,423.94,N,471,NULL,-999997,-999997,21,7,4,-999997,NULL
86,QFVI-19,Direct,Level with CI,N,Y,48,30,28.98,0,N,567,3,73,8,14,4,3,0,-999997
87,JNNA-94,Direct,Decreasing with CI,Y,Y,41,5,25.74,0,N,567,3,73,8,14,4,3,0,-999997
88,OVMA-59,MSM,Decreasing with CI,Y,Y,46,30,20.46,0,N,567,3,73,8,14,4,3,0,-999997
89,VDXW-49,CTM,Level,N,Y,62,20,25.74,0,N,567,3,73,8,14,4,3,0,-999997
90,XTPD-25,MSM,Level with CI,Y,N,33,20,20.46,0,N,567,3,73,8,14,4,3,0,-999997
91,JOLC-53,CTM,Level,Y,Y,43,20,25.74,0,N,567,3,73,8,14,4,3,0,-999997
5,OZIK-66,Direct,Level with CI,N,Y,35,20,22.41,572.16,N,563,2,-999997,2,17,5,3,0,-999997
93,GCCZ-98,CTM,Decreasing with CI,N,N,38,20,25.02,0,N,567,3,73,8,14,4,3,0,-999997
94,GBEN-30,CTM,Level,Y,N,59,25,27.28,0,N,567,3,73,8,14,4,3,0,-999997
95,QPRJ-85,Direct,Level with CI,N,Y,37,35,34.98,0,N,567,3,73,8,14,4,3,0,-999997
96,DCTU-24,CTM,Level,Y,N,39,30,28.98,0,N,567,3,73,8,14,4,3,0,-999997
97,GRHH-32,CTM,Decreasing,Y,N,49,20,19.65,520.76,Y,580,1,60,3,9,3,1,0,-999997
98,NSPA-72,Direct,Decreasing,N,N,44,10,16.53,418.15,Y,580,1,60,3,9,3,1,0,-999997
99,QYLE-11,CTM,Level,N,N,41,40,33.29,824.89,N,575,1,16,2,10,4,6,0,-999997
100,RHHK-24,Direct,Decreasing,N,Y,34,5,19.07,574.6,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
101,TXHS-40,CTM,Decreasing,N,Y,44,25,10.88,305.46,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
102,ZUIW-59,CTM,Decreasing with CI,Y,N,45,30,29.76,769.7,Y,568,2,21,13,11,6,2,0,-999997
103,PCKP-66,Direct,Level,Y,Y,36,20,29.76,769.7,Y,568,2,21,13,11,6,2,0,-999997
104,JVQF-20,CTM,Decreasing with CI,Y,Y,62,10,36.47,943.49,Y,568,2,21,13,11,6,2,0,-999997
105,ZBGK-52,CTM,Decreasing accelerated,N,N,42,20,10.68,276.17,Y,568,2,21,13,11,6,2,0,-999997
106,MVIA-30,CTM,Level,Y,N,34,30,10.68,276.17,Y,568,2,21,13,11,6,2,0,-999997
107,ATTZ-72,CTM,Level,N,N,41,5,24.41,628.34,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
108,AZUM-62,CTM,Level,Y,Y,44,10,24.41,628.34,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
109,EDNW-60,Direct,Decreasing accelerated,Y,N,59,30,24.41,628.34,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
110,RGFV-76,MSM,Level with CI,Y,Y,49,25,24.41,628.34,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
111,QRXO-91,CTM,Level,Y,N,58,5,18.67,448,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
112,NJRF-72,MSM,Level,N,Y,39,20,18.67,448,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
113,CABL-92,CTM,Level,Y,N,45,20,33.22,1001.38,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
114,SABL-46,CTM,Level,N,Y,50,30,30.84,994.6,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
115,URBS-34,CTM,Level,N,Y,32,20,32.59,985.04,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
116,UPPS-16,Direct,Decreasing with CI,Y,N,41,20,32.4,980.13,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
117,OVMN-27,Direct,Level,N,N,44,40,30,857.92,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
118,RXPW-30,CTM,Level,N,Y,39,20,32.59,985.04,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
119,TXAJ-14,CTM,Decreasing,N,Y,58,20,32.59,985.04,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
120,UDVI-33,Direct,Decreasing,N,N,44,10,32.28,976.86,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
121,WROD-84,Direct,Level,Y,N,58,30,32.28,976.86,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
122,HUCO-30,CTM,Decreasing accelerated,Y,N,47,25,39.19,1183.77,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
123,VMTY-86,CTM,Level,N,Y,39,20,37.87,1149.45,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
124,LMIE-31,MSM,Level,N,N,59,20,36.34,1093.3,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
125,VKZA-74,CTM,Level,N,N,41,30,36.22,1090.03,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
126,EWAN-56,CTM,Decreasing,N,N,43,20,36.03,1085.13,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
127,IEJA-23,CTM,Decreasing,Y,Y,34,20,35.72,1075.26,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
128,BRYK-26,Direct,Level with CI,Y,N,47,20,34.46,1042.57,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
129,CVKY-25,Direct,Level,Y,Y,48,20,32.91,993.21,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
130,FEMD-67,CTM,Level accelerated,N,Y,32,30,37.24,1133.11,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
131,MGCZ-23,CTM,Decreasing with CI,N,N,51,10,32.59,985.04,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
132,LSCM-71,CTM,Level with CI,Y,Y,35,20,35,1002.29,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
133,UCOI-47,Direct,Level,N,Y,44,40,27,771.3,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
134,WNSF-65,Direct,Decreasing,Y,Y,43,20,19.97,588.75,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
135,FBXS-20,Direct,Level accelerated,N,Y,43,10,77.95,2496.71,Y,588,5,65,4,6,2,2,0,-999997
136,QCHZ-28,MSM,Level with CI,Y,N,50,35,34.28,1116.28,Y,588,5,65,4,6,2,2,0,-999997
137,NUPH-69,CTM,Decreasing,Y,N,46,30,12.03,413.13,Y,588,5,65,4,6,2,2,0,-999997
138,QMJJ-97,MSM,Level,Y,Y,64,20,12.03,413.13,Y,588,5,65,4,6,2,2,0,-999997
139,RVBR-87,CTM,Decreasing with CI,Y,Y,39,20,12.03,413.13,Y,588,5,65,4,6,2,2,0,-999997
140,JPCI-25,Direct,Level,Y,Y,32,20,14.37,493.28,Y,588,5,65,4,6,2,2,0,-999997
141,AWFL-66,MSM,Level,N,Y,21,30,18.24,626.2,Y,588,5,65,4,6,2,2,0,-999997
142,QANZ-49,CTM,Level,N,Y,39,20,20.15,657.48,N,573,0,-999997,10,12,3,4,0,-999997
143,GTGE-94,CTM,Decreasing,Y,Y,45,35,10,237.35,N,559,1,21,8,16,5,2,0,-999997
144,KRFR-66,CTM,Level with CI,Y,Y,45,10,10,237.35,N,559,1,21,8,16,5,2,0,-999997
145,LOTO-82,MSM,Level with CI,Y,N,50,20,52.99,935.17,N,559,1,21,8,16,5,2,0,-999997
146,RCIG-36,CTM,Level,Y,N,37,5,20.01,359.93,N,559,1,21,8,16,5,2,0,-999997
147,NKPU-71,MSM,Decreasing with CI,N,Y,39,10,17.72,391.3,Y,558,3,-999997,8,9,4,4,0,-999997
148,RTPB-98,Direct,Level,Y,N,34,20,17.3,405.08,Y,558,3,-999997,8,9,4,4,0,-999997
149,HIAF-10,CTM,Level with CI,N,Y,53,15,17.3,405.08,Y,558,3,-999997,8,9,4,4,0,-999997
150,LYNA-10,CTM,Decreasing accelerated,N,Y,50,20,13.97,308.34,Y,558,3,-999997,8,9,4,4,0,-999997
151,AYTT-88,CTM,Level with CI,N,N,49,10,17.72,391.3,Y,558,3,-999997,8,9,4,4,0,-999997
5,OZIK-66,Direct,Level with CI,N,Y,35,20,22.41,572.16,N,563,2,-999997,2,17,5,3,0,-999997
153,TJDU-89,Direct,Level,N,N,41,20,17.72,391.3,Y,558,3,-999997,8,9,4,4,0,-999997
154,AHGV-99,CTM,Decreasing with CI,Y,N,52,20,19.41,428.55,Y,558,3,-999997,8,9,4,4,0,-999997
155,NLCV-48,Direct,Decreasing with CI,N,N,44,25,24.42,571.6,Y,558,3,-999997,8,9,4,4,0,-999997
156,LPOG-68,MSM,Level with CI,Y,N,36,10,39.11,998.43,N,575,1,16,2,10,4,6,0,-999997
157,CTAG-67,CTM,Level,Y,Y,44,10,37.53,1023.03,N,575,1,16,2,10,4,6,0,-999997
158,QHHY-90,CTM,Level,N,Y,39,30,15,446.86,N,572,2,108,3,8,3,3,0,-999997
159,HUNP-26,CTM,Level,Y,N,59,15,15,406.28,N,572,2,108,3,8,3,3,0,-999997
160,TEGP-39,CTM,Decreasing,N,N,50,30,15,397.69,N,572,2,108,3,8,3,3,0,-999997
161,BELZ-21,CTM,Level accelerated,Y,Y,52,30,53.41,1479.29,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
162,QCQS-66,Direct,Decreasing accelerated,Y,N,43,10,37.4,1080.3,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
163,IKDA-59,Direct,Level,N,N,50,25,28.16,772.69,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
164,NSPD-59,Direct,Level,N,Y,35,20,35.14,813.12,N,567,3,73,8,14,4,3,0,-999997
165,YHYJ-99,CTM,Decreasing,N,N,48,10,35.14,813.12,N,567,3,73,8,14,4,3,0,-999997
166,NUTO-74,CTM,Decreasing accelerated,Y,Y,45,30,36.4,1094.93,N,490,NULL,-999997,-999997,10,5,10,-999997,NULL
167,OPGQ-30,Direct,Decreasing accelerated,Y,N,48,30,33.09,608.26,N,513,NULL,-999997,-999997,7,4,4,-999997,NULL
168,OMXV-32,CTM,Level,Y,N,39,10,35.14,813.12,N,567,3,73,8,14,4,3,0,-999997
169,LLGX-80,Direct,Decreasing with CI,N,N,43,20,35.14,813.12,N,567,3,73,8,14,4,3,0,-999997
170,EUXN-20,CTM,Level accelerated,Y,Y,47,15,35.92,616.66,Y,562,0,-999997,13,14,4,2,0,-999997
171,AYYO-81,Direct,Decreasing,Y,N,57,30,76.31,1124.85,Y,562,0,-999997,13,14,4,2,0,-999997
172,JFXL-38,CTM,Decreasing with CI,N,N,51,5,76.31,1124.85,Y,562,0,-999997,13,14,4,2,0,-999997
173,XYDT-38,CTM,Level,Y,N,49,15,19.49,648.91,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
174,GJCE-69,CTM,Decreasing with CI,N,N,47,20,19.49,648.91,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
175,QWSU-39,Direct,Level,N,N,33,30,74.84,1921.22,N,565,3,7,6,7,3,6,0,-999997
176,BIAP-61,CTM,Decreasing with CI,Y,N,51,30,15.9,313.42,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
177,LSJB-24,Direct,Level,N,Y,54,25,15.9,313.42,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
178,QDVY-82,MSM,Level accelerated,Y,N,48,5,15.9,313.42,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
179,HKMG-56,MSM,Decreasing,Y,N,32,30,7.12,226.66,Y,566,2,21,7,10,5,5,0,-999997
180,AETU-33,CTM,Decreasing accelerated,N,N,45,20,7.12,226.66,Y,566,2,21,7,10,5,5,0,-999997
181,HNMC-97,Direct,Level,Y,N,45,30,7.12,226.66,Y,566,2,21,7,10,5,5,0,-999997
182,QXFZ-35,MSM,Level with CI,Y,N,37,30,10,263.19,Y,528,8,21,5,24,7,9,0,-999997
183,CSEP-19,MSM,Decreasing,N,N,51,20,10,263.19,Y,528,8,21,5,24,7,9,0,-999997
184,QIIA-65,CTM,Level,Y,N,52,30,10,263.19,Y,528,8,21,5,24,7,9,0,-999997
185,NWNM-63,CTM,Level,Y,Y,44,30,10,263.19,Y,528,8,21,5,24,7,9,0,-999997
186,VOFM-70,MSM,Decreasing,Y,Y,46,30,5.19,125.38,N,534,3,-999997,4,18,7,5,0,-999997
187,KTAN-31,MSM,Level with CI,Y,Y,39,30,5.19,125.38,N,534,3,-999997,4,18,7,5,0,-999997
188,NEDA-68,Direct,Level,N,Y,55,10,5.19,125.38,N,534,3,-999997,4,18,7,5,0,-999997
189,PWLY-55,CTM,Level,N,Y,42,5,5.02,101.96,N,534,3,-999997,4,18,7,5,0,-999997
190,OBDM-85,CTM,Level,Y,N,56,20,5.19,125.38,N,534,3,-999997,4,18,7,5,0,-999997
191,TTMQ-11,CTM,Decreasing with CI,Y,N,45,20,15.17,310.95,N,554,6,-999997,0,18,7,4,0,-999997
192,NGIR-36,Direct,Decreasing with CI,N,Y,44,5,15.17,310.95,N,554,6,-999997,0,18,7,4,0,-999997
193,XZXW-64,Direct,Level,N,Y,26,30,23.95,348,Y,546,1,60,16,13,5,8,0,-999997
194,UHBA-84,Direct,Level with CI,Y,N,34,10,29.05,700.64,N,553,5,-999997,5,20,4,7,0,-999997
195,VHOV-86,CTM,Level,Y,N,32,35,25.56,642.99,N,553,5,-999997,5,20,4,7,0,-999997
196,DHVW-86,CTM,Level,N,Y,39,10,23.1,560.22,N,548,3,-999997,8,24,5,4,0,-999997
197,DKZE-39,Direct,Level,Y,N,46,5,25.64,495.58,N,513,NULL,-999997,-999997,7,4,4,-999997,NULL
198,BFRZ-50,CTM,Decreasing,N,Y,52,30,25.64,495.58,N,513,NULL,-999997,-999997,7,4,4,-999997,NULL
199,KTKV-56,MSM,Level,N,Y,26,30,23.72,431.35,N,513,NULL,-999997,-999997,7,4,4,-999997,NULL
200,DDIO-56,MSM,Decreasing,Y,N,45,30,23.72,431.35,N,513,NULL,-999997,-999997,7,4,4,-999997,NULL
201,PHQM-35,CTM,Level with CI,N,Y,44,30,258.24,5045.49,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
202,GHLZ-35,CTM,Level with CI,Y,N,42,20,71.5,1445.72,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
203,LKVF-70,Direct,Decreasing,Y,N,34,40,71.5,1445.72,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
204,IXKK-53,Direct,Decreasing with CI,N,N,34,5,85.69,1678.21,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
205,CBZT-77,MSM,Level,Y,N,54,15,35.72,910.49,N,545,0,16,11,21,6,8,0,-999997
206,GYPT-66,CTM,Decreasing,Y,Y,30,20,35.72,910.49,N,545,0,16,11,21,6,8,0,-999997
207,DWBT-40,MSM,Level accelerated,Y,Y,42,20,35.72,910.49,N,545,0,16,11,21,6,8,0,-999997
208,ARAO-44,CTM,Decreasing with CI,N,N,48,30,35.72,910.49,N,545,0,16,11,21,6,8,0,-999997
209,WVQN-86,Direct,Decreasing,Y,N,44,20,18.78,500.93,N,567,3,73,8,14,4,3,0,-999997
210,ZQSJ-54,CTM,Decreasing with CI,N,Y,46,15,14.43,329.05,N,542,2,29,7,22,5,4,0,-999997
211,EQUR-24,MSM,Decreasing with CI,N,N,54,20,14.43,329.05,N,542,2,29,7,22,5,4,0,-999997
212,ZHWO-68,CTM,Level,N,Y,48,30,66,1525.86,N,561,3,49,3,16,2,5,0,-999997
213,TLPN-36,CTM,Level with CI,Y,N,50,30,43.95,1000.21,N,561,3,49,3,16,2,5,0,-999997
214,OBZO-14,Direct,Level,Y,N,45,20,48.57,1100.2,N,561,3,49,3,16,2,5,0,-999997
215,AJRM-77,CTM,Level with CI,N,N,40,20,41.41,1025.4,N,561,3,49,3,16,2,5,0,-999997
216,CSJR-86,Direct,Level,N,Y,22,35,35.27,875.17,N,561,3,49,3,16,2,5,0,-999997
217,FNGE-29,Direct,Decreasing,Y,Y,44,10,35.27,875.17,N,561,3,49,3,16,2,5,0,-999997
218,PYQH-69,CTM,Level,N,N,36,15,34.94,856.69,N,577,1,37,4,14,5,7,0,-999997
219,EGTJ-77,CTM,Decreasing,Y,N,53,20,34.94,856.69,N,577,1,37,4,14,5,7,0,-999997
220,QFNE-69,CTM,Level,N,N,39,25,16.96,413.26,N,565,0,-999997,10,12,5,6,0,-999997
221,UNST-64,Direct,Level,N,N,50,30,16.96,413.26,N,565,0,-999997,10,12,5,6,0,-999997
222,JRBB-65,Direct,Level accelerated,Y,Y,31,30,16.96,413.26,N,565,0,-999997,10,12,5,6,0,-999997
223,DISD-32,MSM,Level,Y,Y,44,10,27.12,669.7,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
224,RWJW-26,CTM,Level,N,Y,47,20,12.27,286.27,N,541,3,37,21,16,7,5,0,-999997
225,ZTIV-51,Direct,Decreasing,Y,Y,36,5,12.27,286.27,N,541,3,37,21,16,7,5,0,-999997
