QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
OJOD-97,Direct,Level,1.0,0,52.0,20,65.88,2168.82,0,,,,,,,,,
VENN-71,CTM,Decreasing with CI,1.0,1,47.0,20,65.88,2168.82,0,,,,,,,,,
RGEI-65,Direct,Decreasing,1.0,0,58.0,30,12.0,369.79,0,573.0,0.0,,10.0,12,3,4.0,0.0,
ZGTA-22,Direct,Level,0.0,0,44.0,20,31.76,876.81,1,580.0,1.0,60.0,3.0,9,3,1.0,0.0,
MFPA-26,CTM,Level,1.0,1,41.0,20,46.24,1312.58,1,580.0,1.0,60.0,3.0,9,3,1.0,0.0,
RJFP-38,Direct,Decreasing accelerated,0.0,0,41.0,30,31.76,876.81,1,580.0,1.0,60.0,3.0,9,3,1.0,0.0,
YITT-76,MSM,Level,0.0,1,39.0,20,16.53,418.15,1,580.0,1.0,60.0,3.0,9,3,1.0,0.0,
EATY-48,CTM,Decreasing,1.0,0,45.0,10,26.76,776.94,0,,,,,,,,,
IHAY-97,Direct,Level with CI,1.0,1,40.0,40,11.15,295.55,0,,,,,,,,,
OQSX-19,Direct,Level accelerated,1.0,1,33.0,40,26.76,776.94,0,,,,,,,,,
YKND-43,CTM,Level,0.0,0,40.0,15,10.27,248.51,0,558.0,0.0,21.0,3.0,15,5,6.0,0.0,
GQKO-87,CTM,Level with CI,1.0,0,59.0,30,8.38,181.28,0,558.0,0.0,21.0,3.0,15,5,6.0,0.0,
EZMD-25,CTM,Level,1.0,0,42.0,40,13.07,294.15,0,563.0,1.0,37.0,9.0,15,5,10.0,0.0,
NWMS-54,MSM,Decreasing,0.0,1,38.0,20,13.07,294.15,0,563.0,1.0,37.0,9.0,15,5,10.0,0.0,
NUMA-26,CTM,Decreasing with CI,1.0,1,56.0,30,29.36,673.04,0,562.0,3.0,,3.0,9,8,4.0,0.0,
RVSJ-19,CTM,Level,1.0,1,43.0,30,33.29,0.0,0,572.0,1.0,,16.0,8,5,7.0,0.0,
QEDZ-69,CTM,Decreasing,1.0,1,46.0,20,220.49,6866.28,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
YFIP-86,Direct,Level,0.0,1,41.0,40,100.0,3022.9,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
JCPG-95,MSM,Level,0.0,0,52.0,20,100.0,3146.17,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
GPQM-79,MSM,Level with CI,1.0,1,50.0,40,117.19,3624.7,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
UVCH-34,CTM,Level with CI,0.0,0,45.0,20,28.98,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
GMXF-72,CTM,Level,1.0,1,35.0,5,25.74,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
ILVE-39,CTM,Decreasing with CI,1.0,0,48.0,20,20.46,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
VCPQ-61,Direct,Decreasing,1.0,1,39.0,10,25.74,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
MCIO-64,MSM,Decreasing with CI,0.0,1,45.0,20,20.46,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
IEJX-62,Direct,Level with CI,1.0,0,34.0,20,25.74,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
FUVO-72,CTM,Level with CI,0.0,1,49.0,20,25.02,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
CAAW-46,CTM,Decreasing with CI,1.0,0,40.0,30,25.02,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
UTBD-76,Direct,Level with CI,0.0,0,46.0,5,27.28,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
ASUY-57,CTM,Decreasing with CI,0.0,0,26.0,30,34.98,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
DCOD-90,Direct,Decreasing,0.0,0,24.0,30,28.98,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
GVSS-55,MSM,Level,0.0,0,39.0,20,220.49,6866.28,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
URNY-81,CTM,Level,0.0,0,38.0,20,100.0,3022.9,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
YMMJ-85,MSM,Level with CI,1.0,0,52.0,10,100.0,3146.17,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
FBTZ-82,CTM,Decreasing,1.0,0,44.0,20,117.19,3624.7,0,546.0,3.0,55.0,8.0,12,6,7.0,0.0,
PTAC-20,Direct,Level,0.0,0,27.0,5,5.32,85.56,0,537.0,1.0,,10.0,22,7,8.0,0.0,
XNUA-29,CTM,Decreasing with CI,0.0,1,50.0,5,6.5,114.01,0,537.0,1.0,,10.0,22,7,8.0,0.0,
AJQP-65,CTM,Decreasing,1.0,1,36.0,30,6.5,114.01,0,537.0,1.0,,10.0,22,7,8.0,0.0,
TNBF-50,CTM,Level,1.0,0,50.0,20,24.93,525.94,0,,,,,,,,,
GPDJ-59,CTM,Decreasing accelerated,0.0,0,35.0,15,24.93,525.94,0,,,,,,,,,
LHVY-13,Direct,Level with CI,0.0,1,42.0,5,13.82,423.94,0,471.0,,,,21,7,4.0,,
QFVI-19,Direct,Level with CI,0.0,1,48.0,30,28.98,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
JNNA-94,Direct,Decreasing with CI,1.0,1,41.0,5,25.74,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
OVMA-59,MSM,Decreasing with CI,1.0,1,46.0,30,20.46,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
VDXW-49,CTM,Level,0.0,1,62.0,20,25.74,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
XTPD-25,MSM,Level with CI,1.0,0,33.0,20,20.46,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
JOLC-53,CTM,Level,1.0,1,43.0,20,25.74,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
GCCZ-98,CTM,Decreasing with CI,0.0,0,38.0,20,25.02,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
GBEN-30,CTM,Level,1.0,0,59.0,25,27.28,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
QPRJ-85,Direct,Level with CI,0.0,1,37.0,35,34.98,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
DCTU-24,CTM,Level,1.0,0,39.0,30,28.98,0.0,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
GRHH-32,CTM,Decreasing,1.0,0,49.0,20,19.65,520.76,1,580.0,1.0,60.0,3.0,9,3,1.0,0.0,
NSPA-72,Direct,Decreasing,0.0,0,44.0,10,16.53,418.15,1,580.0,1.0,60.0,3.0,9,3,1.0,0.0,
QYLE-11,CTM,Level,0.0,0,41.0,40,33.29,824.89,0,575.0,1.0,16.0,2.0,10,4,6.0,0.0,
RHHK-24,Direct,Decreasing,0.0,1,34.0,5,19.07,574.6,0,,,,,,,,,
TXHS-40,CTM,Decreasing,0.0,1,44.0,25,10.88,305.46,0,,,,,,,,,
ZUIW-59,CTM,Decreasing with CI,1.0,0,45.0,30,29.76,769.7,1,568.0,2.0,21.0,13.0,11,6,2.0,0.0,
PCKP-66,Direct,Level,1.0,1,36.0,20,29.76,769.7,1,568.0,2.0,21.0,13.0,11,6,2.0,0.0,
JVQF-20,CTM,Decreasing with CI,1.0,1,62.0,10,36.47,943.49,1,568.0,2.0,21.0,13.0,11,6,2.0,0.0,
ZBGK-52,CTM,Decreasing accelerated,0.0,0,42.0,20,10.68,276.17,1,568.0,2.0,21.0,13.0,11,6,2.0,0.0,
MVIA-30,CTM,Level,1.0,0,34.0,30,10.68,276.17,1,568.0,2.0,21.0,13.0,11,6,2.0,0.0,
ATTZ-72,CTM,Level,0.0,0,41.0,5,24.41,628.34,1,,,,,,,,,
AZUM-62,CTM,Level,1.0,1,44.0,10,24.41,628.34,1,,,,,,,,,
EDNW-60,Direct,Decreasing accelerated,1.0,0,59.0,30,24.41,628.34,1,,,,,,,,,
RGFV-76,MSM,Level with CI,1.0,1,49.0,25,24.41,628.34,1,,,,,,,,,
QRXO-91,CTM,Level,1.0,0,58.0,5,18.67,448.0,1,,,,,,,,,
NJRF-72,MSM,Level,0.0,1,39.0,20,18.67,448.0,1,,,,,,,,,
CABL-92,CTM,Level,1.0,0,45.0,20,33.22,1001.38,0,490.0,,,,10,5,10.0,,
SABL-46,CTM,Level,0.0,1,50.0,30,30.84,994.6,0,490.0,,,,10,5,10.0,,
URBS-34,CTM,Level,0.0,1,32.0,20,32.59,985.04,0,490.0,,,,10,5,10.0,,
UPPS-16,Direct,Decreasing with CI,1.0,0,41.0,20,32.4,980.13,0,490.0,,,,10,5,10.0,,
OVMN-27,Direct,Level,0.0,0,44.0,40,30.0,857.92,0,490.0,,,,10,5,10.0,,
RXPW-30,CTM,Level,0.0,1,39.0,20,32.59,985.04,0,490.0,,,,10,5,10.0,,
TXAJ-14,CTM,Decreasing,0.0,1,58.0,20,32.59,985.04,0,490.0,,,,10,5,10.0,,
UDVI-33,Direct,Decreasing,0.0,0,44.0,10,32.28,976.86,0,490.0,,,,10,5,10.0,,
WROD-84,Direct,Level,1.0,0,58.0,30,32.28,976.86,0,490.0,,,,10,5,10.0,,
HUCO-30,CTM,Decreasing accelerated,1.0,0,47.0,25,39.19,1183.77,0,490.0,,,,10,5,10.0,,
VMTY-86,CTM,Level,0.0,1,39.0,20,37.87,1149.45,0,490.0,,,,10,5,10.0,,
LMIE-31,MSM,Level,0.0,0,59.0,20,36.34,1093.3,0,490.0,,,,10,5,10.0,,
VKZA-74,CTM,Level,0.0,0,41.0,30,36.22,1090.03,0,490.0,,,,10,5,10.0,,
EWAN-56,CTM,Decreasing,0.0,0,43.0,20,36.03,1085.13,0,490.0,,,,10,5,10.0,,
IEJA-23,CTM,Decreasing,1.0,1,34.0,20,35.72,1075.26,0,490.0,,,,10,5,10.0,,
BRYK-26,Direct,Level with CI,1.0,0,47.0,20,34.46,1042.57,0,490.0,,,,10,5,10.0,,
CVKY-25,Direct,Level,1.0,1,48.0,20,32.91,993.21,0,490.0,,,,10,5,10.0,,
FEMD-67,CTM,Level accelerated,0.0,1,32.0,30,37.24,1133.11,0,490.0,,,,10,5,10.0,,
MGCZ-23,CTM,Decreasing with CI,0.0,0,51.0,10,32.59,985.04,0,490.0,,,,10,5,10.0,,
LSCM-71,CTM,Level with CI,1.0,1,35.0,20,35.0,1002.29,0,490.0,,,,10,5,10.0,,
UCOI-47,Direct,Level,0.0,1,44.0,40,27.0,771.3,0,490.0,,,,10,5,10.0,,
WNSF-65,Direct,Decreasing,1.0,1,43.0,20,19.97,588.75,0,490.0,,,,10,5,10.0,,
FBXS-20,Direct,Level accelerated,0.0,1,43.0,10,77.95,2496.71,1,588.0,5.0,65.0,4.0,6,2,2.0,0.0,
QCHZ-28,MSM,Level with CI,1.0,0,50.0,35,34.28,1116.28,1,588.0,5.0,65.0,4.0,6,2,2.0,0.0,
NUPH-69,CTM,Decreasing,1.0,0,46.0,30,12.03,413.13,1,588.0,5.0,65.0,4.0,6,2,2.0,0.0,
QMJJ-97,MSM,Level,1.0,1,64.0,20,12.03,413.13,1,588.0,5.0,65.0,4.0,6,2,2.0,0.0,
RVBR-87,CTM,Decreasing with CI,1.0,1,39.0,20,12.03,413.13,1,588.0,5.0,65.0,4.0,6,2,2.0,0.0,
JPCI-25,Direct,Level,1.0,1,32.0,20,14.37,493.28,1,588.0,5.0,65.0,4.0,6,2,2.0,0.0,
AWFL-66,MSM,Level,0.0,1,21.0,30,18.24,626.2,1,588.0,5.0,65.0,4.0,6,2,2.0,0.0,
QANZ-49,CTM,Level,0.0,1,39.0,20,20.15,657.48,0,573.0,0.0,,10.0,12,3,4.0,0.0,
GTGE-94,CTM,Decreasing,1.0,1,45.0,35,10.0,237.35,0,559.0,1.0,21.0,8.0,16,5,2.0,0.0,
KRFR-66,CTM,Level with CI,1.0,1,45.0,10,10.0,237.35,0,559.0,1.0,21.0,8.0,16,5,2.0,0.0,
LOTO-82,MSM,Level with CI,1.0,0,50.0,20,52.99,935.17,0,559.0,1.0,21.0,8.0,16,5,2.0,0.0,
RCIG-36,CTM,Level,1.0,0,37.0,5,20.01,359.93,0,559.0,1.0,21.0,8.0,16,5,2.0,0.0,
NKPU-71,MSM,Decreasing with CI,0.0,1,39.0,10,17.72,391.3,1,558.0,3.0,,8.0,9,4,4.0,0.0,
RTPB-98,Direct,Level,1.0,0,34.0,20,17.3,405.08,1,558.0,3.0,,8.0,9,4,4.0,0.0,
HIAF-10,CTM,Level with CI,0.0,1,53.0,15,17.3,405.08,1,558.0,3.0,,8.0,9,4,4.0,0.0,
LYNA-10,CTM,Decreasing accelerated,0.0,1,50.0,20,13.97,308.34,1,558.0,3.0,,8.0,9,4,4.0,0.0,
AYTT-88,CTM,Level with CI,0.0,0,49.0,10,17.72,391.3,1,558.0,3.0,,8.0,9,4,4.0,0.0,
TJDU-89,Direct,Level,0.0,0,41.0,20,17.72,391.3,1,558.0,3.0,,8.0,9,4,4.0,0.0,
AHGV-99,CTM,Decreasing with CI,1.0,0,52.0,20,19.41,428.55,1,558.0,3.0,,8.0,9,4,4.0,0.0,
NLCV-48,Direct,Decreasing with CI,0.0,0,44.0,25,24.42,571.6,1,558.0,3.0,,8.0,9,4,4.0,0.0,
LPOG-68,MSM,Level with CI,1.0,0,36.0,10,39.11,998.43,0,575.0,1.0,16.0,2.0,10,4,6.0,0.0,
CTAG-67,CTM,Level,1.0,1,44.0,10,37.53,1023.03,0,575.0,1.0,16.0,2.0,10,4,6.0,0.0,
QHHY-90,CTM,Level,0.0,1,39.0,30,15.0,446.86,0,572.0,2.0,108.0,3.0,8,3,3.0,0.0,
HUNP-26,CTM,Level,1.0,0,59.0,15,15.0,406.28,0,572.0,2.0,108.0,3.0,8,3,3.0,0.0,
TEGP-39,CTM,Decreasing,0.0,0,50.0,30,15.0,397.69,0,572.0,2.0,108.0,3.0,8,3,3.0,0.0,
BELZ-21,CTM,Level accelerated,1.0,1,52.0,30,53.41,1479.29,0,,,,,,,,,
QCQS-66,Direct,Decreasing accelerated,1.0,0,43.0,10,37.4,1080.3,0,,,,,,,,,
IKDA-59,Direct,Level,0.0,0,50.0,25,28.16,772.69,0,,,,,,,,,
NSPD-59,Direct,Level,0.0,1,35.0,20,35.14,813.12,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
YHYJ-99,CTM,Decreasing,0.0,0,48.0,10,35.14,813.12,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
NUTO-74,CTM,Decreasing accelerated,1.0,1,45.0,30,36.4,1094.93,0,490.0,,,,10,5,10.0,,
OPGQ-30,Direct,Decreasing accelerated,1.0,0,48.0,30,33.09,608.26,0,513.0,,,,7,4,4.0,,
OMXV-32,CTM,Level,1.0,0,39.0,10,35.14,813.12,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
LLGX-80,Direct,Decreasing with CI,0.0,0,43.0,20,35.14,813.12,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
EUXN-20,CTM,Level accelerated,1.0,1,47.0,15,35.92,616.66,1,562.0,0.0,,13.0,14,4,2.0,0.0,
AYYO-81,Direct,Decreasing,1.0,0,57.0,30,76.31,1124.85,1,562.0,0.0,,13.0,14,4,2.0,0.0,
JFXL-38,CTM,Decreasing with CI,0.0,0,51.0,5,76.31,1124.85,1,562.0,0.0,,13.0,14,4,2.0,0.0,
XYDT-38,CTM,Level,1.0,0,49.0,15,19.49,648.91,0,,,,,,,,,
GJCE-69,CTM,Decreasing with CI,0.0,0,47.0,20,19.49,648.91,0,,,,,,,,,
QWSU-39,Direct,Level,0.0,0,33.0,30,74.84,1921.22,0,565.0,3.0,7.0,6.0,7,3,6.0,0.0,
BIAP-61,CTM,Decreasing with CI,1.0,0,51.0,30,15.9,313.42,1,,,,,,,,,
LSJB-24,Direct,Level,0.0,1,54.0,25,15.9,313.42,1,,,,,,,,,
QDVY-82,MSM,Level accelerated,1.0,0,48.0,5,15.9,313.42,1,,,,,,,,,
HKMG-56,MSM,Decreasing,1.0,0,32.0,30,7.12,226.66,1,566.0,2.0,21.0,7.0,10,5,5.0,0.0,
AETU-33,CTM,Decreasing accelerated,0.0,0,45.0,20,7.12,226.66,1,566.0,2.0,21.0,7.0,10,5,5.0,0.0,
HNMC-97,Direct,Level,1.0,0,45.0,30,7.12,226.66,1,566.0,2.0,21.0,7.0,10,5,5.0,0.0,
QXFZ-35,MSM,Level with CI,1.0,0,37.0,30,10.0,263.19,1,528.0,8.0,21.0,5.0,24,7,9.0,0.0,
CSEP-19,MSM,Decreasing,0.0,0,51.0,20,10.0,263.19,1,528.0,8.0,21.0,5.0,24,7,9.0,0.0,
QIIA-65,CTM,Level,1.0,0,52.0,30,10.0,263.19,1,528.0,8.0,21.0,5.0,24,7,9.0,0.0,
NWNM-63,CTM,Level,1.0,1,44.0,30,10.0,263.19,1,528.0,8.0,21.0,5.0,24,7,9.0,0.0,
VOFM-70,MSM,Decreasing,1.0,1,46.0,30,5.19,125.38,0,534.0,3.0,,4.0,18,7,5.0,0.0,
KTAN-31,MSM,Level with CI,1.0,1,39.0,30,5.19,125.38,0,534.0,3.0,,4.0,18,7,5.0,0.0,
NEDA-68,Direct,Level,0.0,1,55.0,10,5.19,125.38,0,534.0,3.0,,4.0,18,7,5.0,0.0,
PWLY-55,CTM,Level,0.0,1,42.0,5,5.02,101.96,0,534.0,3.0,,4.0,18,7,5.0,0.0,
OBDM-85,CTM,Level,1.0,0,56.0,20,5.19,125.38,0,534.0,3.0,,4.0,18,7,5.0,0.0,
TTMQ-11,CTM,Decreasing with CI,1.0,0,45.0,20,15.17,310.95,0,554.0,6.0,,0.0,18,7,4.0,0.0,
NGIR-36,Direct,Decreasing with CI,0.0,1,44.0,5,15.17,310.95,0,554.0,6.0,,0.0,18,7,4.0,0.0,
XZXW-64,Direct,Level,0.0,1,26.0,30,23.95,348.0,1,546.0,1.0,60.0,16.0,13,5,8.0,0.0,
UHBA-84,Direct,Level with CI,1.0,0,34.0,10,29.05,700.64,0,553.0,5.0,,5.0,20,4,7.0,0.0,
VHOV-86,CTM,Level,1.0,0,32.0,35,25.56,642.99,0,553.0,5.0,,5.0,20,4,7.0,0.0,
DHVW-86,CTM,Level,0.0,1,39.0,10,23.1,560.22,0,548.0,3.0,,8.0,24,5,4.0,0.0,
DKZE-39,Direct,Level,1.0,0,46.0,5,25.64,495.58,0,513.0,,,,7,4,4.0,,
BFRZ-50,CTM,Decreasing,0.0,1,52.0,30,25.64,495.58,0,513.0,,,,7,4,4.0,,
KTKV-56,MSM,Level,0.0,1,26.0,30,23.72,431.35,0,513.0,,,,7,4,4.0,,
DDIO-56,MSM,Decreasing,1.0,0,45.0,30,23.72,431.35,0,513.0,,,,7,4,4.0,,
PHQM-35,CTM,Level with CI,0.0,1,44.0,30,258.24,5045.49,0,,,,,,,,,
GHLZ-35,CTM,Level with CI,1.0,0,42.0,20,71.5,1445.72,0,,,,,,,,,
LKVF-70,Direct,Decreasing,1.0,0,34.0,40,71.5,1445.72,0,,,,,,,,,
IXKK-53,Direct,Decreasing with CI,0.0,0,34.0,5,85.69,1678.21,0,,,,,,,,,
CBZT-77,MSM,Level,1.0,0,54.0,15,35.72,910.49,0,545.0,0.0,16.0,11.0,21,6,8.0,0.0,
GYPT-66,CTM,Decreasing,1.0,1,30.0,20,35.72,910.49,0,545.0,0.0,16.0,11.0,21,6,8.0,0.0,
DWBT-40,MSM,Level accelerated,1.0,1,42.0,20,35.72,910.49,0,545.0,0.0,16.0,11.0,21,6,8.0,0.0,
ARAO-44,CTM,Decreasing with CI,0.0,0,48.0,30,35.72,910.49,0,545.0,0.0,16.0,11.0,21,6,8.0,0.0,
WVQN-86,Direct,Decreasing,1.0,0,44.0,20,18.78,500.93,0,567.0,3.0,73.0,8.0,14,4,3.0,0.0,
ZQSJ-54,CTM,Decreasing with CI,0.0,1,46.0,15,14.43,329.05,0,542.0,2.0,29.0,7.0,22,5,4.0,0.0,
EQUR-24,MSM,Decreasing with CI,0.0,0,54.0,20,14.43,329.05,0,542.0,2.0,29.0,7.0,22,5,4.0,0.0,
ZHWO-68,CTM,Level,0.0,1,48.0,30,66.0,1525.86,0,561.0,3.0,49.0,3.0,16,2,5.0,0.0,
TLPN-36,CTM,Level with CI,1.0,0,50.0,30,43.95,1000.21,0,561.0,3.0,49.0,3.0,16,2,5.0,0.0,
OBZO-14,Direct,Level,1.0,0,45.0,20,48.57,1100.2,0,561.0,3.0,49.0,3.0,16,2,5.0,0.0,
AJRM-77,CTM,Level with CI,0.0,0,40.0,20,41.41,1025.4,0,561.0,3.0,49.0,3.0,16,2,5.0,0.0,
CSJR-86,Direct,Level,0.0,1,22.0,35,35.27,875.17,0,561.0,3.0,49.0,3.0,16,2,5.0,0.0,
FNGE-29,Direct,Decreasing,1.0,1,44.0,10,35.27,875.17,0,561.0,3.0,49.0,3.0,16,2,5.0,0.0,
PYQH-69,CTM,Level,0.0,0,36.0,15,34.94,856.69,0,577.0,1.0,37.0,4.0,14,5,7.0,0.0,
EGTJ-77,CTM,Decreasing,1.0,0,53.0,20,34.94,856.69,0,577.0,1.0,37.0,4.0,14,5,7.0,0.0,
QFNE-69,CTM,Level,0.0,0,39.0,25,16.96,413.26,0,565.0,0.0,,10.0,12,5,6.0,0.0,
UNST-64,Direct,Level,0.0,0,50.0,30,16.96,413.26,0,565.0,0.0,,10.0,12,5,6.0,0.0,
JRBB-65,Direct,Level accelerated,1.0,1,31.0,30,16.96,413.26,0,565.0,0.0,,10.0,12,5,6.0,0.0,
DISD-32,MSM,Level,1.0,1,44.0,10,27.12,669.7,0,,,,,,,,,
RWJW-26,CTM,Level,0.0,1,47.0,20,12.27,286.27,0,541.0,3.0,37.0,21.0,16,7,5.0,0.0,
ZTIV-51,Direct,Decreasing,1.0,1,36.0,5,12.27,286.27,0,541.0,3.0,37.0,21.0,16,7,5.0,0.0,
BIHJ-11,Direct,Level accelerated,1.0,0,50.0,20,10.98,255.96,0,541.0,3.0,37.0,21.0,16,7,5.0,0.0,
